Row Labels,Sum of Valuation
9/9/2014,1241230
9/10/2014,516466.14
9/11/2014,2592200
9/12/2014,595064
9/15/2014,15370998
9/16/2014,367866
9/17/2014,304527
9/18/2014,811100
9/19/2014,526733.3
9/22/2014,336327
9/23/2014,200995
9/24/2014,981033
9/25/2014,4959803
9/26/2014,240442.78
9/29/2014,305969.74
9/30/2014,478472
10/1/2014,157690
10/2/2014,532553.52
10/3/2014,478690
10/6/2014,230850
10/7/2014,678415
10/8/2014,340578
10/9/2014,611794.73
10/10/2014,404659.27
10/14/2014,470970
10/15/2014,284400
10/16/2014,220880.84
10/17/2014,161790
10/20/2014,116664
10/21/2014,974233.21
10/22/2014,137240.18
10/23/2014,200950
10/24/2014,136247.46
10/25/2014,0
10/27/2014,112935.38
10/28/2014,1144916
10/29/2014,3641885.92
10/30/2014,3916369.98
10/31/2014,1231538
11/3/2014,180808
11/4/2014,166052
11/5/2014,959797
11/6/2014,301983
11/7/2014,198999
11/10/2014,2166630
11/12/2014,193057
11/13/2014,939097
11/14/2014,3189263.83
11/17/2014,767628
11/18/2014,391526
11/19/2014,162748.18
11/20/2014,192194.03
11/21/2014,916560
11/22/2014,0
11/24/2014,161831
11/25/2014,2122124
11/26/2014,176606.03
11/28/2014,0
12/1/2014,13334
12/2/2014,92380
12/3/2014,184400
12/4/2014,70643.4
12/5/2014,136790
12/8/2014,451076
12/9/2014,1483328
12/10/2014,103766.14
12/11/2014,680654
12/12/2014,42078
12/15/2014,44900
12/16/2014,125474
12/17/2014,76092.03
12/18/2014,108689
12/19/2014,400432
12/22/2014,105345
12/23/2014,260900
12/24/2014,77666
12/26/2014,42477.18
12/29/2014,119900
12/30/2014,246373
12/31/2014,51400
1/2/2015,99950
1/5/2015,102143
1/6/2015,633506.18
1/7/2015,175250
1/8/2015,121428.23
1/9/2015,504504
1/12/2015,50825
1/13/2015,243087
1/14/2015,31742
1/15/2015,39461.02
1/16/2015,70767
1/20/2015,97127
1/21/2015,91585
1/22/2015,1080972
1/23/2015,96375
1/26/2015,372738
1/27/2015,28750
1/28/2015,148700
1/29/2015,75150
1/30/2015,36773
2/2/2015,248000
2/3/2015,38647.61
2/4/2015,10391
2/5/2015,5910153
2/6/2015,46380
2/9/2015,39657
2/10/2015,1685730
2/11/2015,313113
2/12/2015,8536.05
2/13/2015,55399
2/17/2015,6716
2/18/2015,75187
2/19/2015,107350
2/20/2015,16800
2/23/2015,188632
2/24/2015,974750
2/25/2015,168632
2/26/2015,559915
2/27/2015,93760
3/2/2015,290292
3/3/2015,207290.32
3/4/2015,147556
3/5/2015,43336.02
3/6/2015,988408
3/9/2015,189700
