TAX_ID,Lat,Lon,NonResAssets_CombinedCode,CODEAB_CombinedCode,Entity2,Entity_Category,ENTITY,Status
31150005200000110120000000,43.03286422,-76.12421949,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000110130000000,43.03273405,-76.12418929,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000110160000000,43.03242389,-76.12417796,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000050380000000,43.0361309,-76.12416009,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000050340000000,43.03570766,-76.12410285,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000170040000000,43.03159613,-76.12410036,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000050270000000,43.03492145,-76.12405026,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000120240000000,43.03819553,-76.12395439,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000100330000000,43.03373761,-76.12391493,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000100290000000,43.03331157,-76.1238733,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000100260000000,43.03298272,-76.12383289,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000100210000000,43.03242661,-76.12378444,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000100200000000,43.03232226,-76.12377938,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000050040000000,43.03639418,-76.12366384,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000180240000000,43.03107234,-76.12364349,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000050070000000,43.03605492,-76.12330064,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000050080000000,43.03595938,-76.12329594,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000050170000000,43.03488942,-76.12319139,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000050160000000,43.03494515,-76.12319098,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000040020000000,43.04214977,-76.1231715,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000100030000000,43.03391148,-76.12308375,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000110330000000,43.03785898,-76.12307689,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000100040000000,43.0338214,-76.12307079,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000110320000000,43.03770112,-76.12306946,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000100090000000,43.03325393,-76.12304191,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000100150000000,43.03259341,-76.12297477,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000100160000000,43.03249474,-76.12295797,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000100170000000,43.03235318,-76.1229376,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000180090000000,43.03134096,-76.12283413,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000060500010000,43.03564521,-76.12278443,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000060440000000,43.03503211,-76.12278122,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000060450000000,43.03506784,-76.12278096,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000180150000000,43.03065048,-76.1227789,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000180140000000,43.03075194,-76.12277814,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000180160000000,43.03055041,-76.1227699,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000060470000000,43.03532497,-76.12275566,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
