Row Labels,Affordable Housing,Alcohol Commercial,Auto Commercial,Banks and Lending,Care Commercial,Community Safety,Convenience Commercial,Education,Entertainment,Food Commercial,Gasoline Commercial,Health and Wellness,Hotel and Motel,Industrial,Infrastructure,Legal,Manufacturing,Mixed Use,Office Space,Public Space and Services,Religious,Residential,Retail Commercial,Shopping Center,Storage Commercial,Vacant Building,Grand Total,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars
55.00,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.89,0,0,0.03,0.01,1,3115,318,0.63,0.07,0.58,0.07,0.07,0.04,1780,28953,1948,33992,4493
56.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.97,0,0,0,0,1,1205,84,0.72,0.06,0.69,0.06,0.05,0.03,690,79070,5741,101697,22190
56.02,0,0,0,0,0.01,0,0,0.78,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,3725,441,0.37,0.04,0.32,0.04,0.15,0.05,198,13304,15193,38385,15255
57.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.95,0,0,0,0.01,1,1352,141,0.63,0.08,0.55,0.08,0.13,0.05,723,36354,11621,44506,5753
58.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.98,0,0,0,0,1,1767,197,0.54,0.06,0.43,0.06,0.21,0.08,836,29014,2913,35750,5385
59.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.96,0,0,0,0.01,1,1327,180,0.5,0.08,0.36,0.07,0.29,0.1,559,29297,9934,30564,5923
60.00,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0.01,0.96,0,0,0,0,1,2865,222,0.62,0.06,0.56,0.06,0.09,0.04,1541,33720,7381,53426,6764
61.01,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0.01,0.01,0.89,0.01,0,0,0.01,1,3041,277,0.48,0.06,0.44,0.06,0.08,0.05,1422,28933,4167,36939,4209
61.02,0,0,0.05,0,0.01,0,0.01,0.01,0,0.01,0.02,0.07,0,0.01,0.01,0.01,0,0.01,0.09,0.01,0,0.69,0,0,0.01,0.01,1,1753,150,0.5,0.07,0.43,0.07,0.14,0.12,1330,21744,2215,41784,12715
61.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,1,2082,149,0.73,0.04,0.68,0.05,0.06,0.04,1054,64565,5239,74034,9506
Grand Total,0.01,0,0.01,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0.02,0,0.01,0,0.9,0,0,0.01,0.01,1,,,,,,,,,,,,,
