TAX_ID,Problems,lat,lon
31150011300000090010000000,Potential Lead Paint,-76.19823333,43.05945163
31150011200000010140000000,Potential Lead Paint,-76.19821251,43.05612988
31150011200000150070000000,Potential Lead Paint,-76.19819609,43.05428719
31150011200000010270000000,Potential Lead Paint Dilapidated Vacant,-76.19818879,43.05496396
31150011200000010180000000,Potential Lead Paint,-76.19818749,43.05563433
31150011300000020280000000,Potential Lead Paint,-76.19818624,43.06093472
31150011200000170020000000,Potential Lead Paint,-76.19818213,43.05378939
31150011300000070220000000,Potential Lead Paint,-76.19815417,43.05820295
31150011200000160110000000,Potential Lead Paint,-76.19813625,43.05288981
31150011200000010190000000,Potential Lead Paint,-76.19812649,43.0555478
31150011300000060050000000,Potential Lead Paint,-76.19812466,43.05758196
31150011300000020270000000,Potential Lead Paint,-76.19812439,43.06084697
31150011300000070230000000,Potential Lead Paint,-76.19810375,43.05828547
31150009000000040090000000,Potential Lead Paint,-76.1980781,43.02581618
31150011300000070240000000,Potential Lead Paint,-76.19807458,43.05837618
31150011200000150060000000,Potential Lead Paint,-76.19806315,43.05433759
31150011300000020260000000,Potential Lead Paint,-76.19806254,43.06075922
31150011200000010200000000,Potential Lead Paint,-76.19805777,43.0554503
31150011200000170030000000,Potential Lead Paint,-76.19804919,43.05383979
31150011200000170220000000,Potential Lead Paint,-76.19804778,43.05359979
31150009000000090100000000,Potential Lead Paint,-76.19803659,43.02500505
31150009000000040160000000,Potential Lead Paint,-76.19802814,43.02638588
31150011300000010140000000,Potential Lead Paint,-76.19801726,43.06136012
31150011200000010260000000,Potential Lead Paint,-76.198006,43.05503326
31150009000000040210000000,Potential Lead Paint,-76.19800266,43.0274396
31150011300000020250000000,Potential Lead Paint,-76.19800068,43.06067147
31150011300000060230000000,Potential Lead Paint,-76.19799897,43.057007
31150011300000070160000000,Potential Lead Paint,-76.19799256,43.0580764
31150011200000010210000000,Potential Lead Paint,-76.19798904,43.05535281
31150011200000170210000000,Potential Lead Paint,-76.19798249,43.05350717
31150011300000070250010000,Potential Lead Paint,-76.1979643,43.05848961
31150009000000090220000000,Potential Lead Paint,-76.19795641,43.02334233
31150011200000150050000000,Potential Lead Paint,-76.19794718,43.05440847
31150011300000020240000000,Potential Lead Paint,-76.19793883,43.06058372
31150011300000020010010000,Potential Lead Paint,-76.1979316,43.06098929
31150011300000070150000000,Potential Lead Paint,-76.19792813,43.05798499
31150011200000010220000000,Potential Lead Paint,-76.19792249,43.05525329
31150011200000170200000000,Potential Lead Paint,-76.19792064,43.05341942
31150011300000070020010000,Potential Lead Paint,-76.19790144,43.05875415
31150011300000010130000000,Potential Lead Paint,-76.19789959,43.06138033
31150011300000070140000000,Potential Lead Paint,-76.19788142,43.05779624
31150011300000020230000000,Potential Lead Paint,-76.19787698,43.06049598
31150011200000170190000000,Potential Lead Paint,-76.19785879,43.05333167
31150011200000010250000000,Potential Lead Paint,-76.19785389,43.05509415
31150011200000170040000000,Potential Lead Paint,-76.19785203,43.05403808
31150011300000020220000000,Potential Lead Paint,-76.19781513,43.06040823
31150011300000060060000000,Potential Lead Paint,-76.19780056,43.05738279
31150009000000040080000000,Potential Lead Paint,-76.1977991,43.02581864
31150011200000170050000000,Potential Lead Paint,-76.19778695,43.05394577
31150011300000060220000000,Potential Lead Paint,-76.19778455,43.05708822
31150011300000020020010000,Potential Lead Paint,-76.19778206,43.06107835
31150011300000070170000000,Potential Lead Paint,-76.19777665,43.05809873
31150011300000020210000000,Potential Lead Paint,-76.19775328,43.06032048
31150011200000020490010000,Potential Lead Paint,-76.19775133,43.05660588
31150011300000070130000000,Potential Lead Paint,-76.19774844,43.05784661
31150009000000090110000000,Potential Lead Paint,-76.1977448,43.02495577
31150011300000020030000000,Potential Lead Paint,-76.19774014,43.06098063
31150011200000170170010000,Potential Lead Paint,-76.19773799,43.0530408
31150011300000020040000000,Potential Lead Paint,-76.19771866,43.06089281
31150011200000170060000000,Potential Lead Paint,-76.19771823,43.05384827
31150011300000020200000000,Potential Lead Paint,-76.19769143,43.06023273
31150011300000070180000000,Potential Lead Paint,-76.19767858,43.05813588
31150009000000090210000000,Potential Lead Paint,-76.19766381,43.02342728
31150011300000020050000000,Potential Lead Paint,-76.19766368,43.06081481
31150011300000060070000000,Potential Lead Paint,-76.19766204,43.05743526
31150011200000170070000000,Potential Lead Paint Vacant,-76.19764951,43.05375077
31150011300000020190000000,Potential Lead Paint,-76.19762958,43.06014498
31150011200000140090000000,Potential Lead Paint,-76.19762803,43.05480779
31150011300000070030010000,Potential Lead Paint,-76.19762781,43.05866254
31150011300000070120000000,Potential Lead Paint,-76.19761547,43.05789697
31150011300000020060000000,Potential Lead Paint,-76.1976087,43.06073681
31150011200000010230000000,Potential Lead Paint,-76.19760485,43.05524093
31150011200000140080000000,Potential Lead Paint,-76.19759504,43.0546981
31150011200000170080000000,Potential Lead Paint,-76.19758422,43.05365815
31150011300000070190000000,Potential Lead Paint,-76.19757885,43.05817365
