objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,Count
85091,85091,66,17516,RugWenNE,Rugby Rd & Wendell Ter,,43.06754200000,-76.12976000000,,1
81902,81902,66,2175,EgePinNE,E.Genesee St & Pine St,,43.04698700000,-76.12968400000,,1
83076,83076,66,11942,BriTowLM,Brighton Towers,,43.00501900000,-76.12968200000,,1
84229,84229,66,6173,EucComNE,Euclid Ave & Comstock Ave,,43.03630600000,-76.12964100000,,1
81793,81793,66,11937,ComStrNW,Comstock Ave & Stratford St,,43.03408600000,-76.12962000000,,1
81036,81036,66,355,EfaPinNE,E.Fayette St & Pine St,,43.04843700000,-76.12962000000,,1
80912,80912,66,8372,ComSfsSE,Comstock Av & Stratford St,,43.03389800000,-76.12953400000,,1
84114,84114,66,8596,AinSupSW,Ainsley Dr & SU Physical Plant,,43.01123100000,-76.12952300000,,1
85672,85672,66,4913,EseEbrSE,E.Seneca Tpke & E.Brighton Ave,E SENECA TPKE & E BRIGHTON AVE,43.00196600000,-76.12947700000,,1
80509,80509,66,10471,OakwooLM,Oakwood,,43.03232300000,-76.12947500000,,1
80510,80510,66,10470,StrComNE,Stratford St & Comstock Ave,,43.03400600000,-76.12946000000,,1
