TAX_ID,Lat,Lon,CensusTract,CensusTract,CensusTract,NonResAssets_CombinedCode,CODEAB_CombinedCode,Entity2,Entity_Category,ENTITY,Expr1,Latitude,Longitude,Latit,Longi
31150000200000130060000000,43.06970841,-76.16516359,5.01,5.01,5.01,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.17
31150000200000130060000000,43.06961008,-76.16526329,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000130060000000,43.06970841,-76.16516359,5.01,5.01,5.01,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.17
31150000200000130060000000,43.06961008,-76.16526329,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000130070000000,43.06968041,-76.16508035,5.01,5.01,5.01,42501,,Bar (X-Rated),Alcohol Commercial,BAR (X-RATED),1,43,-76,43.07,-76.17
31150000200000130070000000,43.06963022,-76.16515446,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000130070000000,43.06968041,-76.16508035,5.01,5.01,5.01,42501,,Bar (X-Rated),Alcohol Commercial,BAR (X-RATED),1,43,-76,43.07,-76.17
31150000200000130070000000,43.06963022,-76.16515446,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000130080000000,43.06945133,-76.16496234,5.01,5.01,5.01,83704,,Cell Facility On Bldg,Infrastructure,CELL FACILITY ON BLDG,1,43,-76,43.07,-76.16
31150000200000130080000000,43.06957628,-76.16487356,5.01,5.01,5.01,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000130080000000,43.06945133,-76.16496234,5.01,5.01,5.01,83704,,Cell Facility On Bldg,Infrastructure,CELL FACILITY ON BLDG,1,43,-76,43.07,-76.16
31150000200000130080000000,43.06957628,-76.16487356,5.01,5.01,5.01,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000130100000000,43.0692939,-76.16429702,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000130100000000,43.06930321,-76.16426262,5.01,5.01,5.01,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000130100000000,43.0692939,-76.16429702,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000130100000000,43.06930321,-76.16426262,5.01,5.01,5.01,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000130120000000,43.06918587,-76.16401661,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000130120000000,43.06914488,-76.16399328,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000130120000000,43.0691934,-76.16392427,5.01,5.01,5.01,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000130120000000,43.06918587,-76.16401661,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000130120000000,43.06914488,-76.16399328,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000130120000000,43.0691934,-76.16392427,5.01,5.01,5.01,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000130120000000,43.06918587,-76.16401661,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000130120000000,43.06914488,-76.16399328,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000130120000000,43.0691934,-76.16392427,5.01,5.01,5.01,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000130140000000,43.06890554,-76.16437693,5.01,5.01,5.01,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000130170000000,43.06829678,-76.16463609,5.01,5.01,5.01,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000130180000000,43.06837624,-76.16485017,5.01,5.01,5.01,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000150060000000,43.06899035,-76.16346179,5.01,5.01,5.01,43304,,Repair,Auto Commercial,REPAIR,1,43,-76,43.07,-76.16
31150000200000150070000000,43.06881511,-76.16317844,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000150070000000,43.0688622,-76.16314807,5.01,5.01,5.01,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000150070000000,43.06881511,-76.16317844,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000150070000000,43.0688622,-76.16314807,5.01,5.01,5.01,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000150080010000,43.06843785,-76.16327974,5.01,5.01,5.01,43313,,Auto Towing,Auto Commercial,AUTO TOWING,1,43,-76,43.07,-76.16
31150000200000160180030000,43.06886722,-76.16242471,2,2,2,43102,,Used Car Only,Auto Commercial,USED CAR ONLY,1,43,-76,43.07,-76.16
31150000200000160180030000,43.06893318,-76.16260226,2,2,2,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000160180030000,43.06886722,-76.16242471,2,2,2,43102,,Used Car Only,Auto Commercial,USED CAR ONLY,1,43,-76,43.07,-76.16
31150000200000160180030000,43.06893318,-76.16260226,2,2,2,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000240150000000,43.06817216,-76.16070265,2,2,2,42501,,Bar (X-Rated),Alcohol Commercial,BAR (X-RATED),1,43,-76,43.07,-76.16
31150000200000240210000000,43.06848743,-76.16140605,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000240220000000,43.06854307,-76.16165164,2,2,2,45903,,Liquor Store,Alcohol Commercial,LIQUOR STORE,1,43,-76,43.07,-76.16
31150000200000240220000000,43.06859016,-76.16162127,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000240220000000,43.06854307,-76.16165164,2,2,2,45903,,Liquor Store,Alcohol Commercial,LIQUOR STORE,1,43,-76,43.07,-76.16
31150000200000240220000000,43.06859016,-76.16162127,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000240230000000,43.06857596,-76.16172738,2,2,2,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000240240000000,43.06863656,-76.16194587,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000240240000000,43.06860955,-76.16187524,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000240240000000,43.06859672,-76.16180879,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000240240000000,43.06863656,-76.16194587,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000240240000000,43.06860955,-76.16187524,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000240240000000,43.06859672,-76.16180879,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000240240000000,43.06863656,-76.16194587,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000240240000000,43.06860955,-76.16187524,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000240240000000,43.06859672,-76.16180879,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000250020000000,43.06825128,-76.16206274,5.01,5.01,5.01,45901,,Convenience Store,Convenience Commercial,CONVENIENCE STORE,1,43,-76,43.07,-76.16
31150000200000250030000000,43.06827135,-76.16164248,5.01,5.01,5.01,44900,,Warehouse,Storage Commercial,WAREHOUSE,1,43,-76,43.07,-76.16
31150000200000250040000000,43.06816535,-76.16135489,5.01,5.01,5.01,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000250200010000,43.06742758,-76.1624177,5.01,5.01,5.01,44900,,Warehouse,Storage Commercial,WAREHOUSE,1,43,-76,43.07,-76.16
31150000200000260100000000,43.06678075,-76.16175647,5.01,5.01,5.01,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
