objectid,ntm_stop_id,ntm_feed_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
80936,80936,66,15792,481ErrEX,Hwy 481 & E River Rd,,43.431555,-76.482106,
79848,79848,66,16009,EasChrNE,East Ave & Christopher Cir,,43.450932,-76.481949,
79777,79777,66,16235,R57ChuSE,Rte 57 & Churchill Rd,,43.428546,-76.481574,
85179,85179,66,15556,PubSafLM,Public Safety OCJ,,43.432059,-76.480854,
82258,82258,66,15989,EasTalSX,East Ave & Talisman Ter,,43.45063,-76.480731,
79847,79847,66,16008,EasTalNE,East Ave & Talisman Ter,,43.450568,-76.480247,
79773,79773,66,16729,GenManSX,E Genesee St & Mandy Rue,,42.941668,-76.479688,
83628,83628,66,16776,EgeManNE,E Genesee St & Mandy Rue,,42.941731,-76.479577,
80126,80126,66,16636,MaiR31NE,Main St & State Rte 31,,43.070747,-76.478901,
82144,82144,66,15776,481ChuNW,Hwy 481 & Churchill Rd,,43.429573,-76.478798,
81927,81927,66,15791,481ChuSE,Hwy 481 & Churchill Rd,,43.429421,-76.478376,
81419,81419,66,9614,WalMrtOs,Walmart Plaza Route 104 Oswego,,43.464216,-76.478232,
85422,85422,66,15990,EasCitSX,East Ave & City Line Rd,,43.449919,-76.477613,
81727,81727,66,16007,CitEasNW,City Line Rd & East Ave,,43.450286,-76.477453,
80127,80127,66,16688,MaiHamNW,Main St & Hamilton St,,43.069443,-76.477329,
83906,83906,66,16188,R57HigWX,Co Route 57 & Highland Dr,,43.418136,-76.477321,
83903,83903,66,16635,MaiHamEX,Main St & Hamilton St,,43.06938,-76.477181,
79778,79778,66,16234,R57HigSE,Co Rte 57 & Highland Dr,,43.417984,-76.477097,
80707,80707,66,17459,HamCliSE,Hamilton St & Clinton St,,43.065289,-76.476933,
83249,83249,66,16691,CliHamNE,Clinton St & Hamilton St,,43.065433,-76.476896,
80700,80700,66,17450,HamLawWX,Hamilton St & Lawrence St,,43.064045,-76.476854,
80706,80706,66,17458,HamLawSE,Hamilton St & Lawrence St,,43.063902,-76.476768,
85421,85421,66,15991,CitSkySE,City Line Rd & Skyline Dr,,43.451667,-76.476701,
81726,81726,66,16006,CitSkyWX,City Line Rd & Skyline Dr,,43.45216,-76.476578,
