objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
85027,85027,66,2145,EgeForSW,E.Genesee St & Forman Ave,,43.04693300000,-76.14029700000
85911,85911,66,7895,CvlCrtLM,Centerville Court Apts.,,43.12995500000,-76.14027900000
84305,84305,66,10138,HarSarNX,Harrison St & Sarah Loguen Rd,,43.04437300000,-76.14027600000
85910,85910,66,7899,EwsBrrNE,E.Washington St & Brewerton Rd,,43.23735400000,-76.14027300000
85399,85399,66,18011,BesRioLM,Bessie Riordan Senior Apartments,,43.09838500000,-76.14025400000
81604,81604,66,435,LodJamNE,Lodi St & James St,,43.05630600000,-76.14023300000
85820,85820,66,11095,SenSenNE,E Seneca Tpke & Seneca Dr,,43.00049800000,-76.14017100000
82059,82059,66,18021,EgeForNW,E Genesee St & Forman Ave,E GENESEE ST & FORMAN AVE,43.04739000000,-76.14011100000
83977,83977,66,11182,WatForSW,E Water St & Forman Ave,,43.05031700000,-76.14005700000
80243,80243,66,6732,EwsForSW,E.Washington St & Forman Ave,,43.04942200000,-76.14004600000
80369,80369,66,7901,EwsBrrSE,E.Washington St & Brewerton Rd,E WASHINGTON ST & BREWERTON RD,43.23718300000,-76.14000100000
82559,82559,66,7246,FilChuSW,Fillmore Ave & Churchill Ave,FILLMORE AVE & CHURCHILL AVE,43.00986200000,-76.13998400000
84127,84127,66,323,ForEfaNW,Forman Ave & E.Fayette St,,43.04871400000,-76.13994800000
80245,80245,66,6735,ForEwsNW,Forman Ave & E.Washington St,,43.04953800000,-76.13994700000
85026,85026,66,2147,EgeForNE,E.Genesee St & Forman Ave,,43.04730000000,-76.13991400000
80244,80244,66,6734,ForEwsSE,Forman Ave & E.Washington St,,43.04931400000,-76.13989800000
82545,82545,66,11709,ForWatSE,Forman Ave & E Water St,,43.05023600000,-76.13988400000
82642,82642,66,16267,RegTowLM,Regency Tower Apts,,43.05551800000,-76.13981500000
81464,81464,66,327,EfaForNE,E.Fayette St & Forman Ave,,43.04856200000,-76.13980100000
84780,84780,66,9354,EmyGnsSW,E Molloy Rd & Gordon Ave,,43.09802600000,-76.13972400000
80532,80532,66,1681,VabStaSW,VanBuren St & Stadium Pl,,43.03761300000,-76.13971900000
83612,83612,66,8305,HutWawSW,Huntley St & Wadsworth St,,43.07748800000,-76.13960700000
79685,79685,66,13287,MolGorNE,E Molloy Rd & Gordon Ave,,43.09808900000,-76.13943900000
82069,82069,66,11300,LodWaySW,Lodi St & Wayne St,,43.05579500000,-76.13943100000
80755,80755,66,1665,ChuBeSW,Bernardine Apts,,43.00861700000,-76.13940600000
80246,80246,66,6737,EbeForNX,Erie Blvd E & Forman Ave,,43.05077300000,-76.13936500000
84564,84564,66,5442,HarEbbSW,Harrison St &Elizabeth Blackwell St,,43.04423800000,-76.13936300000
81016,81016,66,8581,HutWawNE,Huntley St & Wadsworth St,,43.07788200000,-76.13928600000
85019,85019,66,9375,MatWriS3,Malden Rd & Wright Ave,,43.10452600000,-76.13924400000
81887,81887,66,7803,BdnAptLM,Bernardine Apts,UNNAMED STREET & CHURCHILL AVE,43.00873300000,-76.13922100000
80642,80642,66,11198,LodWayNE,Lodi St & Wayne St,,43.05572400000,-76.13919700000
83435,83435,66,11805,R11 W4,Route 11,,42.94638600000,-76.13915900000
84517,84517,66,6368,GrdWawSW,Grant Blvd & Wadsworth St,,43.07227700000,-76.13914600000
81645,81645,66,9365,MatWriN3,Malden Rd & Wright Ave,MALDEN RD & BREMAN AVE,43.10460700000,-76.13914500000
83871,83871,66,1675,EraStuNE,E.Raynor Ave & Stadium Pl,,43.03586700000,-76.13910500000
84565,84565,66,5441,HarEbbNE,Harrison St &Elizabeth Blackwell St,,43.04428200000,-76.13907900000
80585,80585,66,10318,MaiMelSE,S Main St & Melrose Dr,,43.12509200000,-76.13900200000
84521,84521,66,6367,GrdWawNE,Grant Blvd & Wadsworth St,,43.07232200000,-76.13892400000
79899,79899,66,10372,MaiMelNW,S Main St & Melrose Dr,,43.12525300000,-76.13886600000
82807,82807,66,7266,EglSprSW,E.Glen Ave & Springbrook Ave,E GLEN AVE & SPRINGBROOK AVE,43.00558200000,-76.13884400000
79761,79761,66,5619,BrrOraNW,Brewerton Rd & Orangeport Rd,,43.22903300000,-76.13881400000
82808,82808,66,7260,SprEglNW,Springbrook Ave & E.Glen Ave,SPRINGBROOK AVE & E GLEN AVE,43.00570700000,-76.13877000000
79763,79763,66,5615,BrrMirSE,Brewerton Rd & Miller Rd,,43.22910500000,-76.13876400000
82544,82544,66,4906,EseMlnNE,E.Seneca Tpke & Monticello Dr N,E SENECA TPKE & MONTICELLO DR N,43.00037200000,-76.13858100000
84002,84002,66,443,JamHigNE,James St & Highland St,,43.05729000000,-76.13855300000
82989,82989,66,17637,ParMerSX,Park St & Merz Ave,,43.06316300000,-76.13853100000
85366,85366,66,9230,CttHlnSW,Chestnut St & Helen St,,43.13597000000,-76.13851500000
85761,85761,66,16273,RosTowLM,Shopper - Ross Towers,,43.05533800000,-76.13849400000
84007,84007,66,446,JamHigSX,James St & Highland St,,43.05727200000,-76.13845400000
84649,84649,66,7993,VabIrvSW,VanBuren St & Irving Ave,,43.03763900000,-76.13843600000
85504,85504,66,14902,ParMerNE,Park St & Merz Ave,,43.06320700000,-76.13839500000
82070,82070,66,11301,LodGreSW,Lodi St & Green St,,43.05520400000,-76.13834600000
80248,80248,66,9928,IrvVanNW,Irving Ave & Van Buren St,,43.03780900000,-76.13828700000
83373,83373,66,7760,VAHospLM,Veterans Hospital,,43.03833700000,-76.13827400000
80147,80147,66,6253,CotEdlSW,Court St & Darlington Rd E,,43.08281400000,-76.13825300000
80277,80277,66,17415,IrvGarLM,Irving Ave Parking Garage,,43.03686000000,-76.13822700000
82113,82113,66,13211,HunHarSW,Huntley St & Harding St,,43.07786300000,-76.13818700000
80353,80353,66,9155,IrvEraNW,Irving Ave & E Raynor Ave,,43.03593800000,-76.13813000000
80639,80639,66,11197,LodGreNE,Lodi St & Green St,,43.05513200000,-76.13811200000
82877,82877,66,5990,EcoBdaSE,E.Colvin St & Benedict Ave,,43.02641300000,-76.13810800000
85022,85022,66,9376,MalWriSW,Malden Rd & Wright Ave,,43.10457000000,-76.13810800000
79541,79541,66,5989,EcoBdaNE,E.Colvin St & Benedict Ave,,43.02643000000,-76.13805900000
81325,81325,66,9402,CotDarNE,Court St & Darlington Rd E,,43.08302000000,-76.13804300000
80758,80758,66,1660,IrvUnsNW,Irving Ave & University Pl,,43.03953700000,-76.13803800000
83424,83424,66,9576,SimIrvSE,Sims Dr & Irving Ave,,43.03582100000,-76.13803100000
80757,80757,66,1661,IrvUnsSE,Irving Ave & University Pl,,43.03934900000,-76.13801400000
81199,81199,66,6372,GrdWffSW,Grant Blvd & Woodruff Ave,,43.07231200000,-76.13797400000
83381,83381,66,6747,HarIrvSW,Harrison St & Irving Ave,,43.04421900000,-76.13795600000
85807,85807,66,11897,R11 E30,Route 11,,42.94438900000,-76.13795400000
85030,85030,66,2149,EgeIrvSW,E.Genesee St & Irving Ave,,43.04696700000,-76.13790300000
80987,80987,66,1646,IrvCihLM,Irving Ave & Crouse Hospital,,43.04175700000,-76.13789900000
81017,81017,66,8580,HutHadNE,Huntley St & Harding St,,43.07792500000,-76.13786600000
84566,84566,66,5445,IrvEadNW,Irving Ave & E.Adams St,,43.04351100000,-76.13785900000
80788,80788,66,331,EfaIrvSW,E.Fayette St & Irving Ave,,43.04848900000,-76.13785100000
80789,80789,66,330,EfaIrvNW,E.Fayette St & Irving Ave,,43.04852500000,-76.13782600000
80355,80355,66,9157,IrvEadSE,Irving Ave & E Adams St,,43.04258000000,-76.13781100000
81879,81879,66,12670,IrvMadNW,Irving Ave & Madison St,,43.04549900000,-76.13780600000
80821,80821,66,9441,SyrStaLM,Syracuse Stage,,43.04646600000,-76.13779300000
83383,83383,66,6749,IrvHarSE,Irving Ave & Harrison St,,43.04413800000,-76.13777200000
80045,80045,66,9566,IrvMadSE,Irving Ave & Madison St,,43.04529300000,-76.13775700000
81644,81644,66,9364,MatWriNE,Malden Rd & Wright Ave,,43.10465000000,-76.13772500000
84436,84436,66,10092,WvlIrvNE,Waverly Ave & Irving Ave,,43.04059300000,-76.13771500000
80790,80790,66,333,IrvEfaSE,Irving Ave & E.Fayette St,,43.04841700000,-76.13770300000
81570,81570,66,10203,ArcStaEX,Syracuse Stage,,43.04680600000,-76.13765600000
