YearBuilt,lat,lon,PNUMBR,DollarAmount,Program,Activity,TAXID,Full Address,,,,,,,,,
1926,-76.19958922,43.05666386,762000600,20000,Lead,Syracuse Lead Project,3.12E+25,111 Morgan Ave,,,,,,,,,
1880,-76.19953863,43.05638896,716104200,20000,Lead,Syracuse Lead Project,3.12E+25,414 Chemung St,,,,,,,,,
1900,-76.19939689,43.05743951,748000200,20000,Lead,Syracuse Lead Project,3.12E+25,103 Kincaid Ave,,,,,,,,,
1910,-76.19931164,43.05647323,716104000,20000,Lead,Syracuse Lead Project,3.12E+25,410 Chemung St,,,,,,,,,
1920,-76.19922575,43.05878402,704019300,20000,Lead,Syracuse Lead Project,3.12E+25,1222-24 Avery Ave,,,,,,,,,
1910,-76.19818879,43.05496396,726303600,20000,Lead,Syracuse Lead Project,3.12E+25,306 Essex St,,,,,,,,,
,-76.19806094,43.0572383,704016300,20000,Lead,Syracuse Lead Project,3.12E+25,1108-14 Avery Ave,,,,,,,,,
1880,-76.19794718,43.05440847,762100400,20000,Lead,Syracuse Lead Project,3.12E+25,200 Morton St,,,,,,,,,
1900,-76.19774014,43.06098063,726013200,20000,Lead,Syracuse Lead Project,3.12E+25,1023 Emerson Ave,,,,,,,,,
1920,-76.19753868,43.05461976,737103600,20000,Lead,Syracuse Lead Project,3.12E+25,310 Hayden Ave,,,,,,,,,
1910,-76.19745525,43.05667483,716101600,20000,Lead,Syracuse Lead Project,3.12E+25,319 Chemung St,,,,,,,,,
1910,-76.19727884,43.06007361,726102100,20000,Lead,Syracuse Lead Project,3.12E+25,2008-10 Erie Blvd W,,,,,,,,,
1940,-76.19720527,43.05672917,716101400,20000,Lead,Syracuse Lead Project,3.12E+25,313-15 Chemung St,,,,,,,,,
,-76.19719727,43.05825332,796212000,20000,Lead,Syracuse Lead Project,3.12E+25,1113 Willis Ave,,,,,,,,,
1910,-76.19639774,43.05197486,737100200,20000,Lead,Syracuse Lead Project,3.12E+25,103-05 Hayden Ave,,,,,,,,,
1910,-76.19612109,43.05962068,726011900,20000,Lead,Syracuse Lead Project,3.12E+25,950 Emerson Ave,,,,,,,,,
1890,-76.19601714,43.05304819,704008300,20000,Lead,Syracuse Lead Project,3.12E+25,817 Avery Ave,,,,,,,,,
1920,-76.19597752,43.05463484,704012000,20000,Lead,Syracuse Lead Project,3.12E+25,914 Avery Ave,,,,,,,,,
1900,-76.19595272,43.05295679,704008200,20000,Lead,Syracuse Lead Project,3.12E+25,815 Avery Ave,,,,,,,,,
1900,-76.19589689,43.05287757,704008100,20000,Lead,Syracuse Lead Project,3.12E+25,813 Avery Ave,,,,,,,,,
1920,-76.19568135,43.05379672,704011300,20000,Lead,Syracuse Lead Project,3.12E+25,900 Avery Ave,,,,,,,,,
1900,-76.19560661,43.05790232,716100600,20000,Lead,Syracuse Lead Project,3.12E+25,214 Chemung St,,,,,,,,,
1900,-76.19544089,43.05887432,726008701,20000,Lead,Syracuse Lead Project,3.12E+25,933-35 Emerson Ave,,,,,,,,,
1920,-76.19522659,43.05687026,796211000,20000,Lead,Syracuse Lead Project,3.12E+25,1012 Willis Ave,,,,,,,,,
1890,-76.19520264,43.0550287,796207700,20000,Lead,Syracuse Lead Project,3.12E+25,911 Willis Ave,,,,,,,,,
1910,-76.1950596,43.05154023,704006100,20000,Lead,Syracuse Lead Project,3.12E+25,705 Avery Ave,,,,,,,,,
1905,-76.19495646,43.05312903,704009200,20000,Lead,Syracuse Lead Project,3.12E+25,810 Avery Ave,,,,,,,,,
1951,-76.19466768,43.03016009,1160001800,20000,Lead,Syracuse Lead Project,3.12E+25,154 Merrell Rd,,,,,,,,,
1890,-76.19428,43.05599758,726300700,20000,Lead,Syracuse Lead Project,3.12E+25,117-19 Essex St,,,,,,,,,
1900,-76.19415675,43.05223859,738004100,20000,Lead,Syracuse Lead Project,3.12E+25,415 Herkimer St,,,,,,,,,
1900,-76.19408816,43.04956375,731007300,20000,Lead,Syracuse Lead Project,3.12E+25,1909.5 Genesee St W,,,,,,,,,
1885,-76.19354549,43.05324272,796205500,20000,Lead,Syracuse Lead Project,3.12E+25,803 Willis Ave,,,,,,,,,
1915,-76.1935312,43.04884853,715005300,20000,Lead,Syracuse Lead Project,3.12E+25,407.5 Cayuga St,,,,,,,,,
1930,-76.19308838,43.05561273,761008200,20000,Lead,Syracuse Lead Project,3.12E+25,911 Milton Ave,,,,,,,,,
1930,-76.19301383,43.05550723,761008100,20000,Lead,Syracuse Lead Project,3.12E+25,907-09 Milton Ave,,,,,,,,,
1900,-76.19282542,43.05525985,751000900,20000,Lead,Syracuse Lead Project,3.12E+25,304 Lewis St,,,,,,,,,
1800,-76.19262417,43.04986451,715004600,20000,Lead,Syracuse Lead Project,3.12E+25,320 Cayuga St,,,,,,,,,
1900,-76.19254704,43.05530379,761007800,20000,Lead,Syracuse Lead Project,3.12E+25,901 Milton Ave,,,,,,,,,
1880,-76.19230755,43.05000785,715004400,20000,Lead,Syracuse Lead Project,3.12E+25,314 Cayuga St,,,,,,,,,
1900,-76.1921327,43.05246494,726203100,20000,Lead,Syracuse Lead Project,3.12E+25,218 Erie St,,,,,,,,,
1900,-76.19163891,43.04464611,891010800,20000,Lead,Syracuse Lead Project,3.12E+25,716 Tompkins St,,,,,,,,,
1940,-76.19161204,43.05142723,731005400,20000,Lead,Syracuse Lead Project,3.12E+25,1756 Genesee St W,,,,,,,,,
1863,-76.19156315,43.04504261,804200400,20000,Lead,Syracuse Lead Project,3.12E+25,107 Avoca St,,,,,,,,,
1920,-76.19148615,43.0550069,761007500,20000,Lead,Syracuse Lead Project,3.12E+25,818 Milton Ave,,,,,,,,,
1922,-76.19105959,43.04727142,704001500,20000,Lead,Syracuse Lead Project,3.12E+25,218-20 Avery Ave,,,,,,,,,
1897,-76.19102429,43.05313248,761005200,20000,Lead,Syracuse Lead Project,3.12E+25,707 Milton Ave,,,,,,,,,
1883,-76.19100933,43.05497918,769000500,20000,Lead,Syracuse Lead Project,3.12E+25,113 Pharis St,,,,,,,,,
